datetime,dailyid,dayofweek,os,home_countryname,plmn,plmn_countryname,setting_currency,setting_language,setting_country,logtype_category,logtype_subcategory,accuracy,speed,estimated_speed_flag,course,estimated_course_flag,prefcode,citycode,mesh100mid,home_prefcode,home_citycode,workplace_prefcode,workplace_citycode,transportation_type,gender,longitude,latitude,previous_datetime,previous_interval_s,next_interval_s,distance_m,speed_calc_kmh,mesh1kmid,state
2018/10/02 3:11:00,f4c0b3431488cfff1cad4e11a8a02a0037165ebb5ab4b0555a79aa4ba45eff6ff608cb121cde7b3debf66fa8e7ee828f,2,Android,Japan,44020,Japan,,ja,,,,14.804,0,2,,,13,13103,5339356959,13,13109,13,13103,,m,139.749795,35.637513,2018/10/02 3:00:00,660,-720,0,0,53393569,Stay
2018/10/02 3:57:00,f4c0b3431488cfff1cad4e11a8a02a0037165ebb5ab4b0555a79aa4ba45eff6ff608cb121cde7b3debf66fa8e7ee828f,2,Android,Japan,44020,Japan,,ja,,,,14.804,0,2,,,13,13103,5339356959,13,13109,13,13103,,m,139.749795,35.637513,2018/10/02 3:45:00,720,-660,0,0,53393569,Stay
2018/10/02 3:35:00,f4c0b3431488cfff1cad4e11a8a02a0037165ebb5ab4b0555a79aa4ba45eff6ff608cb121cde7b3debf66fa8e7ee828f,2,Android,Japan,44020,Japan,,ja,,,,14.804,0,2,,,13,13103,5339356959,13,13109,13,13103,,m,139.749795,35.637513,2018/10/02 3:23:00,720,-600,0,0,53393569,Stay
2018/10/02 3:45:00,f4c0b3431488cfff1cad4e11a8a02a0037165ebb5ab4b0555a79aa4ba45eff6ff608cb121cde7b3debf66fa8e7ee828f,2,Android,Japan,44020,Japan,,ja,,,,14.804,0,2,,,13,13103,5339356959,13,13109,13,13103,,m,139.749795,35.637513,2018/10/02 3:35:00,600,-720,0,0,53393569,Stay
2018/10/02 3:00:00,f4c0b3431488cfff1cad4e11a8a02a0037165ebb5ab4b0555a79aa4ba45eff6ff608cb121cde7b3debf66fa8e7ee828f,2,Android,Japan,44020,Japan,,ja,,,,14.804,0,2,,,13,13103,5339356959,13,13109,13,13103,,m,139.749795,35.637513,2018/10/02 2:50:00,600,-660,0,0,53393569,Stay
2018/10/02 3:23:00,f4c0b3431488cfff1cad4e11a8a02a0037165ebb5ab4b0555a79aa4ba45eff6ff608cb121cde7b3debf66fa8e7ee828f,2,Android,Japan,44020,Japan,,ja,,,,14.804,0,2,,,13,13103,5339356959,13,13109,13,13103,,m,139.749795,35.637513,2018/10/02 3:11:00,720,-720,0,0,53393569,Stay
2018/10/02 3:10:00,f044fa09b93de05690ae38fc127b4b1db6f46f3e9ec687457d7596c04a9a6e8a8a00d7b5da8947ace190eafb452e540e,2,Android,Japan,44010,Japan,,ja,,,,14.231,0,2,358.025,2,38,38201,5032651958,38,38201,38,38201,,na,132.748079,33.84607,2018/10/02 3:02:00,480,-420,0.4617581742,0.003463186306,50326519,Stay
2018/10/02 3:28:00,f044fa09b93de05690ae38fc127b4b1db6f46f3e9ec687457d7596c04a9a6e8a8a00d7b5da8947ace190eafb452e540e,2,Android,Japan,44010,Japan,,ja,,,,14.423,0.006,2,207.343,2,38,38201,5032651958,38,38201,38,38201,,na,132.748081,33.846074,2018/10/02 3:23:00,300,-180,2.130795611,0.02556954733,50326519,Stay
2018/10/02 3:46:00,f044fa09b93de05690ae38fc127b4b1db6f46f3e9ec687457d7596c04a9a6e8a8a00d7b5da8947ace190eafb452e540e,2,Android,Japan,44010,Japan,,ja,,,,14.933,0.014,2,195.883,2,38,38201,5032651958,38,38201,38,38201,,na,132.748076,33.846075,2018/10/02 3:36:00,600,-240,8.625183291,0.05175109975,50326519,Stay
2018/10/02 3:56:00,f044fa09b93de05690ae38fc127b4b1db6f46f3e9ec687457d7596c04a9a6e8a8a00d7b5da8947ace190eafb452e540e,2,Android,Japan,44010,Japan,,ja,,,,15.021,0.007,2,36.069,2,38,38201,5032651958,38,38201,38,38201,,na,132.748066,33.846038,2018/10/02 3:51:00,300,-360,2.351475715,0.02821770858,50326519,Stay
